index,Location1,Tournament,Date,Court,Surface,Round,Best of,Player1,Player2,P1Rank,P2Rank,P1Pts,P2Pts,P1_1,P2_1,P1_2,P2_2,P1_3,P2_3,P1_4,P2_4,P1_5,P2_5,P1_sets,P2_sets,year,month,set_win_pct,P1_games,P2_games,games_count,game_win_pct,p1_id,p2_id,location_id,month_id,round_id,indoor,outdoor,grass,clay,hard,carpet,bestof3,bestof5,match_last_night,games_last_night,match_win,pred_set_win
38212,"brisbane, australia",Brisbane International,2018-01-01,Outdoor,Hard,1st Round,3,Mayer L.,Harrison R.,52.0,47.0,909.0,1010.0,4.0,6.0,6.0,3.0,2.0,6.0,0.0,0.0,0.0,0.0,1.0,2.0,2018,1,0.3333333333333333,12.0,15.0,27.0,0.4444444444444444,580,365,26,0,0,0,1,0,0,1,0,1,0,0,0.0,0,0.46111124074954046
38213,"doha, qatar",Qatar Exxon Mobil Open,2018-01-01,Outdoor,Hard,1st Round,3,Donskoy E.,Thiem D.,72.0,5.0,704.0,4015.0,6.0,7.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2018,1,0.0,9.0,13.0,22.0,0.4090909090909091,221,879,33,0,0,0,1,0,0,1,0,1,0,0,0.0,0,0.37018934606257414
38214,"pune,india",Tata Open,2018-01-01,Outdoor,Hard,1st Round,3,Kicker N.,Fucsovics M.,95.0,85.0,590.0,630.0,0.0,6.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2018,1,0.0,3.0,12.0,15.0,0.2,435,275,69,0,0,0,1,0,0,1,0,1,0,0,0.0,0,0.4467194451533807
38215,"pune,india",Tata Open,2018-01-01,Outdoor,Hard,1st Round,3,Fucsovics M.,Kicker N.,85.0,95.0,630.0,590.0,6.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2018,1,1.0,12.0,3.0,15.0,0.8,275,435,69,0,0,0,1,0,0,1,0,1,0,0,0.0,1,0.40413422581625286
38216,"doha, qatar",Qatar Exxon Mobil Open,2018-01-01,Outdoor,Hard,1st Round,3,Thiem D.,Donskoy E.,5.0,72.0,4015.0,704.0,7.0,6.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2018,1,1.0,13.0,9.0,22.0,0.5909090909090909,879,221,33,0,0,0,1,0,0,1,0,1,0,0,0.0,1,0.521036008662156
38217,"doha, qatar",Qatar Exxon Mobil Open,2018-01-01,Outdoor,Hard,1st Round,3,Sela D.,Verdasco F.,68.0,35.0,755.0,1295.0,6.0,4.0,4.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,2.0,2018,1,0.3333333333333333,10.0,16.0,26.0,0.38461538461538464,804,930,33,0,0,0,1,0,0,1,0,1,0,0,0.0,0,0.39566865309665994
38218,"pune,india",Tata Open,2018-01-01,Outdoor,Hard,1st Round,3,Kukushkin M.,Albot R.,74.0,86.0,693.0,616.0,6.0,2.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2018,1,1.0,13.0,8.0,21.0,0.6190476190476191,485,6,69,0,0,0,1,0,0,1,0,1,0,0,0.0,1,0.4082050763813373
38219,"pune,india",Tata Open,2018-01-01,Outdoor,Hard,1st Round,3,Albot R.,Kukushkin M.,86.0,74.0,616.0,693.0,2.0,6.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2018,1,0.0,8.0,13.0,21.0,0.3809523809523809,6,485,69,0,0,0,1,0,0,1,0,1,0,0,0.0,0,0.43480499479823226
38220,"pune,india",Tata Open,2018-01-01,Outdoor,Hard,1st Round,3,Simon G.,Sandgren T.,89.0,96.0,610.0,583.0,6.0,4.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2018,1,1.0,12.0,5.0,17.0,0.7058823529411765,823,784,69,0,0,0,1,0,0,1,0,1,0,0,0.0,1,0.44971818179919376
38221,"doha, qatar",Qatar Exxon Mobil Open,2018-01-01,Outdoor,Hard,1st Round,3,Basilashvili N.,Fabbiano T.,59.0,73.0,826.0,701.0,6.0,4.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2018,1,1.0,12.0,7.0,19.0,0.631578947368421,55,254,33,0,0,0,1,0,0,1,0,1,0,0,0.0,1,0.39060362211911986
38222,"doha, qatar",Qatar Exxon Mobil Open,2018-01-01,Outdoor,Hard,1st Round,3,Tsitsipas S.,Mayer F.,91.0,69.0,606.0,718.0,4.0,6.0,7.0,5.0,6.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,2018,1,0.6666666666666666,17.0,15.0,32.0,0.53125,898,579,33,0,0,0,1,0,0,1,0,1,0,0,0.0,1,0.37904509040274836
38223,"doha, qatar",Qatar Exxon Mobil Open,2018-01-01,Outdoor,Hard,1st Round,3,Mayer F.,Tsitsipas S.,69.0,91.0,718.0,606.0,6.0,4.0,5.0,7.0,4.0,6.0,0.0,0.0,0.0,0.0,1.0,2.0,2018,1,0.3333333333333333,15.0,17.0,32.0,0.46875,579,898,33,0,0,0,1,0,0,1,0,1,0,0,0.0,0,0.40521800633127447
38224,"doha, qatar",Qatar Exxon Mobil Open,2018-01-01,Outdoor,Hard,1st Round,3,Verdasco F.,Sela D.,35.0,68.0,1295.0,755.0,4.0,6.0,6.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2018,1,0.6666666666666666,16.0,10.0,26.0,0.6153846153846154,930,804,33,0,0,0,1,0,0,1,0,1,0,0,0.0,1,0.4844751592539858
38225,"brisbane, australia",Brisbane International,2018-01-01,Outdoor,Hard,1st Round,3,Tiafoe F.,Ebden M.,79.0,76.0,662.0,670.0,3.0,6.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2018,1,0.0,5.0,12.0,17.0,0.29411764705882354,882,231,26,0,0,0,1,0,0,1,0,1,0,0,0.0,0,0.46525319789466174
